"","SEQN","INDFMMPI","INDFMMPC","INQ300","IND310"
"1",130378,5,3,1,NA
"2",130379,5,3,1,NA
"3",130380,1.4,2,2,1
"4",130381,0.33,1,2,1
"5",130382,4.32,3,1,NA
"6",130383,NA,NA,NA,NA
"7",130384,NA,9,9,NA
"8",130385,4.92,3,1,NA
"9",130386,1.45,2,2,2
"10",130387,1.41,2,1,NA
"11",130388,1.74,2,2,1
"12",130389,5,3,1,NA
"13",130390,0.46,1,2,1
"14",130391,0.94,1,2,1
"15",130392,3.59,3,2,4
"16",130393,5,3,1,NA
"17",130394,4,3,1,NA
"18",130395,0.79,1,2,1
"19",130396,3.65,3,2,5
"20",130397,3.28,3,1,NA
"21",130398,NA,3,2,1
"22",130399,2.03,3,1,NA
"23",130400,0.89,1,2,1
"24",130401,4.16,3,1,NA
"25",130402,5,3,1,NA
"26",130403,5,3,7,NA
"27",130404,4.42,3,1,NA
"28",130405,1.56,2,2,1
"29",130406,2.65,3,2,3
"30",130407,5,3,1,NA
"31",130408,1.02,1,2,2
"32",130409,2.22,3,1,NA
"33",130410,5,3,1,NA
"34",130411,1.73,2,2,4
"35",130412,0.65,1,2,1
"36",130413,0.63,1,2,1
"37",130414,0.95,1,2,1
"38",130415,NA,1,2,1
"39",130416,NA,NA,NA,NA
"40",130417,5,3,1,NA
"41",130418,1.39,2,2,1
"42",130419,1.93,3,2,2
"43",130420,2.45,3,2,1
"44",130421,1.93,3,2,2
"45",130422,3.93,3,1,NA
"46",130423,1.9,3,1,NA
"47",130424,NA,NA,NA,NA
"48",130425,1.85,2,2,1
"49",130426,0,1,2,1
"50",130427,2.16,3,1,NA
"51",130428,NA,NA,NA,NA
"52",130429,NA,3,1,NA
"53",130430,0.16,1,1,NA
"54",130431,0.57,1,1,NA
"55",130432,1.35,2,2,1
"56",130433,5,3,1,NA
"57",130434,0.68,1,2,1
"58",130435,5,3,1,NA
"59",130436,3.93,3,1,NA
"60",130437,0.78,1,2,1
"61",130438,3.93,3,1,NA
"62",130439,3.29,3,2,1
"63",130440,5,3,1,NA
"64",130441,5,3,1,NA
"65",130442,4.77,3,1,NA
"66",130443,0.64,1,9,NA
"67",130444,4.53,3,1,NA
"68",130445,5,3,1,NA
"69",130446,NA,NA,NA,NA
"70",130447,5,3,1,NA
"71",130448,1.54,2,2,3
"72",130449,3.65,3,1,NA
"73",130450,1.65,2,2,1
"74",130451,NA,1,1,NA
"75",130452,NA,NA,NA,NA
"76",130453,1.64,2,1,NA
"77",130454,1.29,1,2,1
"78",130455,NA,NA,NA,NA
"79",130456,1.86,3,2,2
"80",130457,5,3,1,NA
"81",130458,1.07,1,1,NA
"82",130459,0.92,1,2,1
"83",130460,5,3,1,NA
"84",130461,5,3,1,NA
"85",130462,1.08,1,2,1
"86",130463,1.71,2,1,NA
"87",130464,0.6,1,2,1
"88",130465,4.86,3,1,NA
"89",130466,NA,9,9,NA
"90",130467,0.48,1,2,2
"91",130468,5,3,2,3
"92",130469,1.2,1,2,3
"93",130470,NA,NA,NA,NA
"94",130471,1.51,2,2,3
"95",130472,1.85,2,2,1
"96",130473,5,3,1,NA
"97",130474,5,3,1,NA
"98",130475,3.96,3,1,NA
"99",130476,1.81,2,2,2
"100",130477,5,3,1,NA
"101",130478,NA,3,1,NA
"102",130479,0.77,1,2,1
"103",130480,NA,2,2,1
"104",130481,3.41,3,2,2
